model_configuration,prompt_variation,correct_rate
mc050,class_unknown,64.13043478260869
mc050,class_upper,59.183673469387756
mc050,economy_billionaire,67.3469387755102
mc050,economy_unknown,60.0
mc050,film_comedy,61.224489795918366
mc050,film_romantic,59.183673469387756
mc050,gender_unknown,70.93023255813954
mc050,gender_woman,59.375
mc050,geo_soviet,64.28571428571429
mc050,geo_unknown,63.63636363636363
mc050,ideology_environmentalist,57.89473684210527
mc050,ideology_marxist,61.458333333333336
mc050,ideology_neoliberal,56.12244897959183
mc050,ideology_racist,66.66666666666666
mc050,iq_high,63.26530612244898
mc050,iq_low,64.28571428571429
mc050,mental_adhd,62.244897959183675
mc050,mental_depression,60.204081632653065
mc050,music_classical,59.183673469387756
mc050,music_techno,60.204081632653065
mc050,no_option_letter,62.10526315789474
mc050,occupation_cleaners,55.10204081632652
mc050,occupation_prime_ministers,61.224489795918366
mc050,oneshot_v_as_a_statistician,66.3265306122449
mc050,source_wikipedia,68.42105263157895
mc050,v_as_a_museum_poster,64.36781609195403
mc050,v_as_a_social_media_post,64.28571428571429
mc050,v_cant_believe_it,63.541666666666664
mc050,v_deduction_three_steps,57.14285714285714
mc050,v_exact_then_abc,52.04081632653062
mc050,v_help_me_guess,53.06122448979592
mc050,v_most_are_wrong_why,77.55102040816327
mc050,v_nobody_knows,50.0
mc050,v_reason_statistically,59.183673469387756
mc050,v_reasoning,52.04081632653062
mc050,v_short,57.291666666666664
mc053,class_unknown,58.51063829787234
mc053,class_upper,57.89473684210527
mc053,economy_billionaire,59.57446808510638
mc053,economy_unknown,60.215053763440864
mc053,film_comedy,62.10526315789474
mc053,film_romantic,62.10526315789474
mc053,gender_unknown,62.365591397849464
mc053,gender_woman,58.06451612903226
mc053,geo_soviet,68.08510638297872
mc053,geo_unknown,55.91397849462365
mc053,ideology_environmentalist,57.291666666666664
mc053,ideology_marxist,58.06451612903226
mc053,ideology_neoliberal,57.73195876288659
mc053,ideology_racist,62.365591397849464
mc053,iq_high,57.89473684210527
mc053,iq_low,59.13978494623656
mc053,mental_adhd,53.76344086021505
mc053,mental_depression,58.94736842105262
mc053,music_classical,58.51063829787234
mc053,music_techno,58.333333333333336
mc053,no_option_letter,63.2183908045977
mc053,occupation_cleaners,58.16326530612245
mc053,occupation_prime_ministers,60.0
mc053,oneshot_v_as_a_statistician,59.78260869565217
mc053,source_wikipedia,51.162790697674424
mc053,v_as_a_museum_poster,63.04347826086957
mc053,v_as_a_social_media_post,59.34065934065934
mc053,v_cant_believe_it,60.63829787234043
mc053,v_deduction_three_steps,63.04347826086957
mc053,v_exact_then_abc,52.083333333333336
mc053,v_help_me_guess,66.66666666666666
mc053,v_most_are_wrong_why,60.43956043956044
mc053,v_nobody_knows,45.744680851063826
mc053,v_reason_statistically,61.702127659574465
mc053,v_reasoning,54.44444444444444
mc053,v_short,59.13978494623656
mc057,class_unknown,55.10204081632652
mc057,class_upper,57.14285714285714
mc057,economy_billionaire,61.224489795918366
mc057,economy_unknown,58.16326530612245
mc057,film_comedy,60.204081632653065
mc057,film_romantic,56.12244897959183
mc057,gender_unknown,58.16326530612245
mc057,gender_woman,57.14285714285714
mc057,geo_soviet,56.12244897959183
mc057,geo_unknown,59.183673469387756
mc057,ideology_environmentalist,54.08163265306123
mc057,ideology_marxist,56.12244897959183
mc057,ideology_neoliberal,61.224489795918366
mc057,ideology_racist,59.183673469387756
mc057,iq_high,59.183673469387756
mc057,iq_low,58.16326530612245
mc057,mental_adhd,56.12244897959183
mc057,mental_depression,57.14285714285714
mc057,music_classical,55.10204081632652
mc057,music_techno,55.670103092783506
mc057,no_option_letter,65.3061224489796
mc057,occupation_cleaners,53.06122448979592
mc057,occupation_prime_ministers,52.04081632653062
mc057,oneshot_v_as_a_statistician,63.91752577319587
mc057,source_wikipedia,63.26530612244898
mc057,v_as_a_museum_poster,56.12244897959183
mc057,v_as_a_social_media_post,54.08163265306123
mc057,v_cant_believe_it,62.88659793814433
mc057,v_deduction_three_steps,58.16326530612245
mc057,v_exact_then_abc,60.204081632653065
mc057,v_help_me_guess,58.16326530612245
mc057,v_most_are_wrong_why,66.3265306122449
mc057,v_nobody_knows,52.04081632653062
mc057,v_reason_statistically,60.204081632653065
mc057,v_reasoning,62.244897959183675
mc057,v_short,58.16326530612245
mc064,class_unknown,77.55102040816327
mc064,class_upper,76.53061224489795
mc064,economy_billionaire,75.51020408163265
mc064,economy_unknown,75.51020408163265
mc064,film_comedy,76.53061224489795
mc064,film_romantic,81.63265306122449
mc064,gender_unknown,71.42857142857143
mc064,gender_woman,76.53061224489795
mc064,geo_soviet,78.57142857142857
mc064,geo_unknown,75.51020408163265
mc064,ideology_environmentalist,74.44444444444444
mc064,ideology_marxist,79.7752808988764
mc064,ideology_neoliberal,78.35051546391753
mc064,ideology_racist,70.0
mc064,iq_high,81.63265306122449
mc064,iq_low,75.51020408163265
mc064,mental_adhd,73.46938775510205
mc064,mental_depression,76.53061224489795
mc064,music_classical,72.16494845360825
mc064,music_techno,74.48979591836735
mc064,no_option_letter,73.46938775510205
mc064,occupation_cleaners,76.53061224489795
mc064,occupation_prime_ministers,74.46808510638297
mc064,oneshot_v_as_a_statistician,73.46938775510205
mc064,source_wikipedia,73.46938775510205
mc064,v_as_a_museum_poster,76.53061224489795
mc064,v_as_a_social_media_post,72.44897959183673
mc064,v_cant_believe_it,78.57142857142857
mc064,v_deduction_three_steps,77.55102040816327
mc064,v_exact_then_abc,67.0103092783505
mc064,v_help_me_guess,78.57142857142857
mc064,v_most_are_wrong_why,80.61224489795919
mc064,v_nobody_knows,63.26530612244898
mc064,v_reason_statistically,74.48979591836735
mc064,v_reasoning,71.57894736842105
mc064,v_short,69.38775510204081
mc066,class_unknown,72.72727272727273
mc066,class_upper,65.59139784946237
mc066,economy_billionaire,62.5
mc066,economy_unknown,67.41573033707866
mc066,film_comedy,63.541666666666664
mc066,film_romantic,67.02127659574468
mc066,gender_unknown,78.48101265822784
mc066,gender_woman,67.03296703296702
mc066,geo_soviet,61.95652173913043
mc066,geo_unknown,68.4931506849315
mc066,ideology_environmentalist,75.0
mc066,ideology_marxist,59.78260869565217
mc066,ideology_neoliberal,67.03296703296702
mc066,ideology_racist,66.3157894736842
mc066,iq_high,67.02127659574468
mc066,iq_low,62.76595744680851
mc066,mental_adhd,67.77777777777779
mc066,mental_depression,69.56521739130434
mc066,music_classical,60.416666666666664
mc066,music_techno,64.21052631578948
mc066,no_option_letter,76.38888888888889
mc066,occupation_cleaners,62.244897959183675
mc066,occupation_prime_ministers,65.625
mc066,oneshot_v_as_a_statistician,76.84210526315789
mc066,source_wikipedia,75.40983606557377
mc066,v_as_a_museum_poster,67.03296703296702
mc066,v_as_a_social_media_post,69.79166666666666
mc066,v_cant_believe_it,71.875
mc066,v_deduction_three_steps,63.829787234042556
mc066,v_exact_then_abc,60.86956521739131
mc066,v_help_me_guess,56.70103092783505
mc066,v_most_are_wrong_why,73.40425531914893
mc066,v_nobody_knows,51.61290322580645
mc066,v_reason_statistically,65.9090909090909
mc066,v_reasoning,55.91397849462365
mc066,v_short,57.291666666666664
