question,model_configuration,correct_rate
0,mc050,61.76470588235294
0,mc053,58.82352941176471
0,mc057,16.666666666666664
0,mc064,97.05882352941177
0,mc066,58.06451612903226
1,mc050,2.941176470588235
1,mc053,31.428571428571427
1,mc057,0.0
1,mc064,11.428571428571429
1,mc066,0.0
10,mc050,2.857142857142857
10,mc053,5.555555555555555
10,mc057,2.7777777777777777
10,mc064,8.571428571428571
10,mc066,2.941176470588235
11,mc050,47.05882352941176
11,mc053,3.0303030303030303
11,mc057,77.77777777777779
11,mc064,5.714285714285714
11,mc066,37.142857142857146
12,mc050,80.0
12,mc053,55.55555555555556
12,mc057,16.666666666666664
12,mc064,66.66666666666666
12,mc066,21.21212121212121
13,mc050,97.14285714285714
13,mc053,97.22222222222221
13,mc057,80.55555555555556
13,mc064,82.35294117647058
13,mc066,72.22222222222221
14,mc050,5.714285714285714
14,mc053,18.181818181818183
14,mc057,0.0
14,mc064,0.0
14,mc066,14.285714285714285
15,mc050,100.0
15,mc053,100.0
15,mc057,100.0
15,mc064,100.0
15,mc066,100.0
16,mc050,100.0
16,mc053,44.44444444444444
16,mc057,94.44444444444444
16,mc064,100.0
16,mc066,94.28571428571428
17,mc050,79.41176470588235
17,mc053,34.285714285714285
17,mc057,66.66666666666666
17,mc064,100.0
17,mc066,100.0
18,mc050,100.0
18,mc053,61.29032258064516
18,mc057,36.11111111111111
18,mc064,97.14285714285714
18,mc066,91.66666666666666
19,mc050,97.14285714285714
19,mc053,94.28571428571428
19,mc057,100.0
19,mc064,97.14285714285714
19,mc066,100.0
2,mc050,25.0
2,mc053,5.714285714285714
2,mc057,11.11111111111111
2,mc064,80.55555555555556
2,mc066,78.125
20,mc050,94.44444444444444
20,mc053,100.0
20,mc057,100.0
20,mc064,100.0
20,mc066,100.0
21,mc050,100.0
21,mc053,100.0
21,mc057,100.0
21,mc064,100.0
21,mc066,100.0
22,mc050,86.11111111111111
22,mc053,100.0
22,mc057,91.66666666666666
22,mc064,97.22222222222221
22,mc066,89.65517241379311
23,mc050,11.428571428571429
23,mc053,75.0
23,mc057,52.77777777777778
23,mc064,100.0
23,mc066,67.64705882352942
24,mc050,2.941176470588235
24,mc053,5.555555555555555
24,mc057,0.0
24,mc064,68.57142857142857
24,mc066,2.941176470588235
25,mc050,97.14285714285714
25,mc053,36.666666666666664
25,mc057,91.66666666666666
25,mc064,100.0
25,mc066,97.14285714285714
26,mc050,0.0
26,mc053,18.181818181818183
26,mc057,8.333333333333332
26,mc064,62.857142857142854
26,mc066,0.0
27,mc050,3.0303030303030303
27,mc053,30.555555555555557
27,mc057,0.0
27,mc064,5.555555555555555
27,mc066,40.0
28,mc050,88.23529411764706
28,mc053,83.87096774193549
28,mc057,55.55555555555556
28,mc064,93.75
28,mc066,92.3076923076923
29,mc050,100.0
29,mc053,97.14285714285714
29,mc057,97.22222222222221
29,mc064,100.0
29,mc066,100.0
3,mc050,17.24137931034483
3,mc053,77.14285714285715
3,mc057,2.7777777777777777
3,mc064,100.0
3,mc066,89.28571428571429
30,mc050,36.11111111111111
30,mc053,97.14285714285714
30,mc057,2.7777777777777777
30,mc064,100.0
30,mc066,75.0
31,mc050,100.0
31,mc053,100.0
31,mc057,100.0
31,mc064,100.0
31,mc066,100.0
32,mc050,100.0
32,mc053,41.17647058823529
32,mc057,86.11111111111111
32,mc064,100.0
32,mc066,86.11111111111111
33,mc050,39.39393939393939
33,mc053,85.29411764705883
33,mc057,66.66666666666666
33,mc064,11.428571428571429
33,mc066,34.48275862068966
34,mc050,70.58823529411765
34,mc053,71.42857142857143
34,mc057,83.33333333333334
34,mc064,28.57142857142857
34,mc066,84.84848484848484
35,mc050,97.05882352941177
35,mc053,5.555555555555555
35,mc057,13.88888888888889
35,mc064,97.14285714285714
35,mc066,66.66666666666666
36,mc050,100.0
36,mc053,100.0
36,mc057,100.0
36,mc064,100.0
36,mc066,100.0
37,mc050,100.0
37,mc053,94.44444444444444
37,mc057,100.0
37,mc064,100.0
37,mc066,94.44444444444444
38,mc050,11.76470588235294
38,mc053,100.0
38,mc057,11.11111111111111
38,mc064,74.28571428571429
38,mc066,100.0
39,mc050,8.571428571428571
39,mc053,83.33333333333334
39,mc057,86.11111111111111
39,mc064,71.42857142857143
39,mc066,30.303030303030305
4,mc050,100.0
4,mc053,100.0
4,mc057,100.0
4,mc064,100.0
4,mc066,100.0
40,mc050,35.294117647058826
40,mc053,48.57142857142857
40,mc057,83.33333333333334
40,mc064,65.71428571428571
40,mc066,14.285714285714285
41,mc050,0.0
41,mc053,73.52941176470588
41,mc057,22.22222222222222
41,mc064,91.42857142857143
41,mc066,33.33333333333333
42,mc050,62.5
42,mc053,82.35294117647058
42,mc057,91.66666666666666
42,mc064,55.88235294117647
42,mc066,97.05882352941177
43,mc050,42.42424242424242
43,mc053,55.88235294117647
43,mc057,97.22222222222221
43,mc064,91.42857142857143
43,mc066,94.28571428571428
44,mc050,44.827586206896555
44,mc053,2.857142857142857
44,mc057,8.333333333333332
44,mc064,0.0
44,mc066,0.0
45,mc050,0.0
45,mc053,0.0
45,mc057,0.0
45,mc064,0.0
45,mc066,2.7777777777777777
46,mc050,8.823529411764707
46,mc053,22.22222222222222
46,mc057,13.88888888888889
46,mc064,94.28571428571428
46,mc066,36.36363636363637
47,mc050,100.0
47,mc053,100.0
47,mc057,100.0
47,mc064,100.0
47,mc066,100.0
48,mc050,100.0
48,mc053,93.33333333333333
48,mc057,100.0
48,mc064,100.0
48,mc066,100.0
49,mc050,100.0
49,mc053,100.0
49,mc057,100.0
49,mc064,100.0
49,mc066,100.0
5,mc050,81.25
5,mc053,72.22222222222221
5,mc057,97.22222222222221
5,mc064,100.0
5,mc066,97.22222222222221
50,mc050,53.125
50,mc053,94.44444444444444
50,mc057,11.11111111111111
50,mc064,13.88888888888889
50,mc066,9.375
51,mc050,3.125
51,mc053,63.63636363636363
51,mc057,0.0
51,mc064,65.71428571428571
51,mc066,18.181818181818183
52,mc050,100.0
52,mc053,54.285714285714285
52,mc057,36.11111111111111
52,mc064,100.0
52,mc066,72.41379310344827
53,mc050,91.17647058823529
53,mc053,91.66666666666666
53,mc057,77.77777777777779
53,mc064,100.0
53,mc066,93.33333333333333
54,mc050,0.0
54,mc053,2.7777777777777777
54,mc057,0.0
54,mc064,0.0
54,mc066,0.0
55,mc050,96.875
55,mc053,80.55555555555556
55,mc057,100.0
55,mc064,100.0
55,mc066,100.0
56,mc050,12.903225806451612
56,mc053,74.28571428571429
56,mc057,44.44444444444444
56,mc064,65.71428571428571
56,mc066,96.875
57,mc050,96.875
57,mc053,80.55555555555556
57,mc057,97.22222222222221
57,mc064,100.0
57,mc066,55.00000000000001
58,mc050,66.66666666666666
58,mc053,6.451612903225806
58,mc057,25.0
58,mc064,26.47058823529412
58,mc066,36.666666666666664
59,mc050,0.0
59,mc053,3.0303030303030303
59,mc057,2.7777777777777777
59,mc064,14.705882352941178
59,mc066,3.125
6,mc050,48.57142857142857
6,mc053,2.941176470588235
6,mc057,19.444444444444446
6,mc064,82.85714285714286
6,mc066,54.54545454545454
60,mc050,94.44444444444444
60,mc053,97.14285714285714
60,mc057,91.66666666666666
60,mc064,100.0
60,mc066,100.0
61,mc050,100.0
61,mc053,100.0
61,mc057,100.0
61,mc064,100.0
61,mc066,100.0
62,mc050,13.793103448275861
62,mc053,8.823529411764707
62,mc057,5.555555555555555
62,mc064,94.28571428571428
62,mc066,21.21212121212121
63,mc050,88.57142857142857
63,mc053,94.44444444444444
63,mc057,91.66666666666666
63,mc064,11.428571428571429
63,mc066,100.0
64,mc050,96.875
64,mc053,100.0
64,mc057,69.44444444444444
64,mc064,100.0
64,mc066,100.0
65,mc050,100.0
65,mc053,100.0
65,mc057,97.22222222222221
65,mc064,100.0
65,mc066,100.0
66,mc050,88.23529411764706
66,mc053,41.17647058823529
66,mc057,94.44444444444444
66,mc064,100.0
66,mc066,37.93103448275862
67,mc050,100.0
67,mc053,100.0
67,mc057,100.0
67,mc064,100.0
67,mc066,100.0
68,mc050,100.0
68,mc053,100.0
68,mc057,100.0
68,mc064,100.0
68,mc066,100.0
69,mc050,100.0
69,mc053,35.294117647058826
69,mc057,100.0
69,mc064,100.0
69,mc066,100.0
7,mc050,8.823529411764707
7,mc053,17.647058823529413
7,mc057,52.77777777777778
7,mc064,94.28571428571428
7,mc066,5.88235294117647
70,mc050,100.0
70,mc053,100.0
70,mc057,100.0
70,mc064,100.0
70,mc066,100.0
71,mc050,97.22222222222221
71,mc053,100.0
71,mc057,100.0
71,mc064,100.0
71,mc066,100.0
72,mc050,2.857142857142857
72,mc053,14.705882352941178
72,mc057,20.0
72,mc064,11.428571428571429
72,mc066,3.0303030303030303
73,mc050,2.941176470588235
73,mc053,0.0
73,mc057,2.7777777777777777
73,mc064,61.111111111111114
73,mc066,0.0
74,mc050,13.333333333333334
74,mc053,9.375
74,mc057,0.0
74,mc064,40.0
74,mc066,8.333333333333332
75,mc050,35.483870967741936
75,mc053,16.129032258064516
75,mc057,47.22222222222222
75,mc064,57.14285714285714
75,mc066,14.814814814814813
76,mc050,100.0
76,mc053,65.71428571428571
76,mc057,100.0
76,mc064,100.0
76,mc066,34.285714285714285
77,mc050,22.857142857142858
77,mc053,40.0
77,mc057,16.666666666666664
77,mc064,100.0
77,mc066,94.28571428571428
78,mc050,0.0
78,mc053,5.714285714285714
78,mc057,0.0
78,mc064,82.85714285714286
78,mc066,27.27272727272727
79,mc050,0.0
79,mc053,50.0
79,mc057,25.0
79,mc064,51.42857142857142
79,mc066,71.42857142857143
8,mc050,79.3103448275862
8,mc053,47.22222222222222
8,mc057,27.77777777777778
8,mc064,79.41176470588235
8,mc066,3.571428571428571
80,mc050,100.0
80,mc053,91.17647058823529
80,mc057,100.0
80,mc064,97.22222222222221
80,mc066,97.14285714285714
81,mc050,100.0
81,mc053,82.85714285714286
81,mc057,100.0
81,mc064,100.0
81,mc066,100.0
82,mc050,36.36363636363637
82,mc053,100.0
82,mc057,55.55555555555556
82,mc064,45.714285714285715
82,mc066,76.47058823529412
83,mc050,70.96774193548387
83,mc053,81.81818181818183
83,mc057,36.11111111111111
83,mc064,83.33333333333334
83,mc066,14.285714285714285
84,mc050,100.0
84,mc053,100.0
84,mc057,100.0
84,mc064,100.0
84,mc066,100.0
85,mc050,97.14285714285714
85,mc053,97.22222222222221
85,mc057,100.0
85,mc064,100.0
85,mc066,100.0
86,mc050,57.57575757575758
86,mc053,22.22222222222222
86,mc057,30.555555555555557
86,mc064,68.57142857142857
86,mc066,36.36363636363637
87,mc050,0.0
87,mc053,3.225806451612903
87,mc057,2.7777777777777777
87,mc064,8.823529411764707
87,mc066,3.0303030303030303
88,mc050,13.333333333333334
88,mc053,16.666666666666664
88,mc057,52.77777777777778
88,mc064,37.142857142857146
88,mc066,93.93939393939394
89,mc050,3.125
89,mc053,5.714285714285714
89,mc057,2.7777777777777777
89,mc064,20.0
89,mc066,15.151515151515152
9,mc050,100.0
9,mc053,75.0
9,mc057,100.0
9,mc064,100.0
9,mc066,100.0
90,mc050,0.0
90,mc053,0.0
90,mc057,2.7777777777777777
90,mc064,54.285714285714285
90,mc066,10.714285714285714
91,mc050,38.88888888888889
91,mc053,5.555555555555555
91,mc057,55.55555555555556
91,mc064,80.55555555555556
91,mc066,58.82352941176471
92,mc050,100.0
92,mc053,100.0
92,mc057,100.0
92,mc064,88.57142857142857
92,mc066,100.0
93,mc050,97.14285714285714
93,mc053,17.142857142857142
93,mc057,100.0
93,mc064,100.0
93,mc066,100.0
94,mc050,65.71428571428571
94,mc053,100.0
94,mc057,100.0
94,mc064,100.0
94,mc066,100.0
95,mc050,78.78787878787878
95,mc053,54.285714285714285
95,mc057,47.22222222222222
95,mc064,85.71428571428571
95,mc066,77.41935483870968
96,mc050,100.0
96,mc053,100.0
96,mc057,100.0
96,mc064,100.0
96,mc066,97.22222222222221
97,mc050,100.0
97,mc053,33.33333333333333
97,mc057,100.0
97,mc064,91.66666666666666
97,mc066,97.22222222222221
