question,model_configuration,indecisive_rate
0,mc050,5.555555555555555
0,mc053,5.555555555555555
0,mc057,0.0
0,mc064,5.555555555555555
0,mc066,13.88888888888889
1,mc050,5.555555555555555
1,mc053,2.7777777777777777
1,mc057,0.0
1,mc064,2.7777777777777777
1,mc066,13.88888888888889
10,mc050,2.7777777777777777
10,mc053,0.0
10,mc057,0.0
10,mc064,2.7777777777777777
10,mc066,5.555555555555555
11,mc050,5.555555555555555
11,mc053,8.333333333333332
11,mc057,0.0
11,mc064,2.7777777777777777
11,mc066,2.7777777777777777
12,mc050,2.7777777777777777
12,mc053,0.0
12,mc057,0.0
12,mc064,0.0
12,mc066,8.333333333333332
13,mc050,2.7777777777777777
13,mc053,0.0
13,mc057,0.0
13,mc064,5.555555555555555
13,mc066,0.0
14,mc050,2.7777777777777777
14,mc053,8.333333333333332
14,mc057,0.0
14,mc064,5.555555555555555
14,mc066,2.7777777777777777
15,mc050,2.7777777777777777
15,mc053,2.7777777777777777
15,mc057,0.0
15,mc064,2.7777777777777777
15,mc066,8.333333333333332
16,mc050,5.555555555555555
16,mc053,0.0
16,mc057,0.0
16,mc064,2.7777777777777777
16,mc066,2.7777777777777777
17,mc050,5.555555555555555
17,mc053,2.7777777777777777
17,mc057,0.0
17,mc064,0.0
17,mc066,0.0
18,mc050,2.7777777777777777
18,mc053,13.88888888888889
18,mc057,0.0
18,mc064,2.7777777777777777
18,mc066,0.0
19,mc050,2.7777777777777777
19,mc053,2.7777777777777777
19,mc057,0.0
19,mc064,2.7777777777777777
19,mc066,2.7777777777777777
2,mc050,0.0
2,mc053,2.7777777777777777
2,mc057,0.0
2,mc064,0.0
2,mc066,11.11111111111111
20,mc050,0.0
20,mc053,0.0
20,mc057,0.0
20,mc064,2.7777777777777777
20,mc066,2.7777777777777777
21,mc050,0.0
21,mc053,19.444444444444446
21,mc057,0.0
21,mc064,2.7777777777777777
21,mc066,0.0
22,mc050,0.0
22,mc053,0.0
22,mc057,0.0
22,mc064,0.0
22,mc066,19.444444444444446
23,mc050,2.7777777777777777
23,mc053,11.11111111111111
23,mc057,0.0
23,mc064,2.7777777777777777
23,mc066,5.555555555555555
24,mc050,5.555555555555555
24,mc053,0.0
24,mc057,0.0
24,mc064,2.7777777777777777
24,mc066,5.555555555555555
25,mc050,2.7777777777777777
25,mc053,16.666666666666664
25,mc057,0.0
25,mc064,8.333333333333332
25,mc066,2.7777777777777777
26,mc050,5.555555555555555
26,mc053,8.333333333333332
26,mc057,0.0
26,mc064,2.7777777777777777
26,mc066,5.555555555555555
27,mc050,8.333333333333332
27,mc053,0.0
27,mc057,0.0
27,mc064,0.0
27,mc066,2.7777777777777777
28,mc050,5.555555555555555
28,mc053,13.88888888888889
28,mc057,0.0
28,mc064,11.11111111111111
28,mc066,27.77777777777778
29,mc050,5.555555555555555
29,mc053,2.7777777777777777
29,mc057,0.0
29,mc064,2.7777777777777777
29,mc066,0.0
3,mc050,19.444444444444446
3,mc053,2.7777777777777777
3,mc057,0.0
3,mc064,5.555555555555555
3,mc066,22.22222222222222
30,mc050,0.0
30,mc053,2.7777777777777777
30,mc057,0.0
30,mc064,2.7777777777777777
30,mc066,0.0
31,mc050,0.0
31,mc053,0.0
31,mc057,0.0
31,mc064,2.7777777777777777
31,mc066,0.0
32,mc050,2.7777777777777777
32,mc053,5.555555555555555
32,mc057,0.0
32,mc064,2.7777777777777777
32,mc066,0.0
33,mc050,8.333333333333332
33,mc053,5.555555555555555
33,mc057,0.0
33,mc064,2.7777777777777777
33,mc066,19.444444444444446
34,mc050,5.555555555555555
34,mc053,2.7777777777777777
34,mc057,0.0
34,mc064,2.7777777777777777
34,mc066,8.333333333333332
35,mc050,5.555555555555555
35,mc053,0.0
35,mc057,0.0
35,mc064,2.7777777777777777
35,mc066,0.0
36,mc050,2.7777777777777777
36,mc053,0.0
36,mc057,0.0
36,mc064,5.555555555555555
36,mc066,0.0
37,mc050,5.555555555555555
37,mc053,0.0
37,mc057,0.0
37,mc064,2.7777777777777777
37,mc066,0.0
38,mc050,5.555555555555555
38,mc053,0.0
38,mc057,0.0
38,mc064,2.7777777777777777
38,mc066,8.333333333333332
39,mc050,2.7777777777777777
39,mc053,0.0
39,mc057,0.0
39,mc064,2.7777777777777777
39,mc066,8.333333333333332
4,mc050,2.7777777777777777
4,mc053,0.0
4,mc057,0.0
4,mc064,2.7777777777777777
4,mc066,0.0
40,mc050,5.555555555555555
40,mc053,2.7777777777777777
40,mc057,0.0
40,mc064,2.7777777777777777
40,mc066,22.22222222222222
41,mc050,5.555555555555555
41,mc053,5.555555555555555
41,mc057,0.0
41,mc064,2.7777777777777777
41,mc066,8.333333333333332
42,mc050,11.11111111111111
42,mc053,5.555555555555555
42,mc057,0.0
42,mc064,5.555555555555555
42,mc066,5.555555555555555
43,mc050,8.333333333333332
43,mc053,5.555555555555555
43,mc057,0.0
43,mc064,2.7777777777777777
43,mc066,2.7777777777777777
44,mc050,19.444444444444446
44,mc053,2.7777777777777777
44,mc057,0.0
44,mc064,2.7777777777777777
44,mc066,8.333333333333332
45,mc050,2.7777777777777777
45,mc053,5.555555555555555
45,mc057,0.0
45,mc064,2.7777777777777777
45,mc066,0.0
46,mc050,5.555555555555555
46,mc053,0.0
46,mc057,0.0
46,mc064,2.7777777777777777
46,mc066,8.333333333333332
47,mc050,2.7777777777777777
47,mc053,0.0
47,mc057,0.0
47,mc064,5.555555555555555
47,mc066,0.0
48,mc050,0.0
48,mc053,58.333333333333336
48,mc057,0.0
48,mc064,0.0
48,mc066,0.0
49,mc050,2.7777777777777777
49,mc053,0.0
49,mc057,0.0
49,mc064,2.7777777777777777
49,mc066,2.7777777777777777
5,mc050,11.11111111111111
5,mc053,0.0
5,mc057,0.0
5,mc064,0.0
5,mc066,0.0
50,mc050,11.11111111111111
50,mc053,0.0
50,mc057,0.0
50,mc064,0.0
50,mc066,11.11111111111111
51,mc050,11.11111111111111
51,mc053,8.333333333333332
51,mc057,0.0
51,mc064,2.7777777777777777
51,mc066,8.333333333333332
52,mc050,11.11111111111111
52,mc053,2.7777777777777777
52,mc057,0.0
52,mc064,2.7777777777777777
52,mc066,19.444444444444446
53,mc050,5.555555555555555
53,mc053,0.0
53,mc057,0.0
53,mc064,2.7777777777777777
53,mc066,16.666666666666664
54,mc050,0.0
54,mc053,0.0
54,mc057,0.0
54,mc064,2.7777777777777777
54,mc066,2.7777777777777777
55,mc050,11.11111111111111
55,mc053,0.0
55,mc057,0.0
55,mc064,5.555555555555555
55,mc066,0.0
56,mc050,13.88888888888889
56,mc053,2.7777777777777777
56,mc057,0.0
56,mc064,2.7777777777777777
56,mc066,11.11111111111111
57,mc050,11.11111111111111
57,mc053,0.0
57,mc057,0.0
57,mc064,2.7777777777777777
57,mc066,44.44444444444444
58,mc050,8.333333333333332
58,mc053,13.88888888888889
58,mc057,0.0
58,mc064,5.555555555555555
58,mc066,16.666666666666664
59,mc050,2.7777777777777777
59,mc053,8.333333333333332
59,mc057,0.0
59,mc064,5.555555555555555
59,mc066,11.11111111111111
6,mc050,2.7777777777777777
6,mc053,5.555555555555555
6,mc057,0.0
6,mc064,2.7777777777777777
6,mc066,8.333333333333332
60,mc050,0.0
60,mc053,2.7777777777777777
60,mc057,0.0
60,mc064,2.7777777777777777
60,mc066,0.0
61,mc050,0.0
61,mc053,0.0
61,mc057,0.0
61,mc064,0.0
61,mc066,0.0
62,mc050,19.444444444444446
62,mc053,5.555555555555555
62,mc057,0.0
62,mc064,2.7777777777777777
62,mc066,8.333333333333332
63,mc050,2.7777777777777777
63,mc053,0.0
63,mc057,0.0
63,mc064,2.7777777777777777
63,mc066,13.88888888888889
64,mc050,11.11111111111111
64,mc053,2.7777777777777777
64,mc057,0.0
64,mc064,2.7777777777777777
64,mc066,2.7777777777777777
65,mc050,2.7777777777777777
65,mc053,2.7777777777777777
65,mc057,0.0
65,mc064,2.7777777777777777
65,mc066,0.0
66,mc050,5.555555555555555
66,mc053,5.555555555555555
66,mc057,0.0
66,mc064,2.7777777777777777
66,mc066,19.444444444444446
67,mc050,0.0
67,mc053,0.0
67,mc057,0.0
67,mc064,5.555555555555555
67,mc066,0.0
68,mc050,0.0
68,mc053,0.0
68,mc057,0.0
68,mc064,2.7777777777777777
68,mc066,0.0
69,mc050,0.0
69,mc053,52.77777777777778
69,mc057,2.7777777777777777
69,mc064,2.7777777777777777
69,mc066,19.444444444444446
7,mc050,5.555555555555555
7,mc053,5.555555555555555
7,mc057,0.0
7,mc064,2.7777777777777777
7,mc066,5.555555555555555
70,mc050,0.0
70,mc053,0.0
70,mc057,0.0
70,mc064,2.7777777777777777
70,mc066,0.0
71,mc050,0.0
71,mc053,0.0
71,mc057,0.0
71,mc064,2.7777777777777777
71,mc066,2.7777777777777777
72,mc050,2.7777777777777777
72,mc053,5.555555555555555
72,mc057,2.7777777777777777
72,mc064,2.7777777777777777
72,mc066,8.333333333333332
73,mc050,5.555555555555555
73,mc053,2.7777777777777777
73,mc057,0.0
73,mc064,0.0
73,mc066,8.333333333333332
74,mc050,16.666666666666664
74,mc053,11.11111111111111
74,mc057,0.0
74,mc064,2.7777777777777777
74,mc066,33.33333333333333
75,mc050,13.88888888888889
75,mc053,13.88888888888889
75,mc057,0.0
75,mc064,2.7777777777777777
75,mc066,25.0
76,mc050,0.0
76,mc053,2.7777777777777777
76,mc057,0.0
76,mc064,2.7777777777777777
76,mc066,2.7777777777777777
77,mc050,2.7777777777777777
77,mc053,2.7777777777777777
77,mc057,0.0
77,mc064,2.7777777777777777
77,mc066,2.7777777777777777
78,mc050,2.7777777777777777
78,mc053,2.7777777777777777
78,mc057,0.0
78,mc064,2.7777777777777777
78,mc066,8.333333333333332
79,mc050,5.555555555555555
79,mc053,0.0
79,mc057,0.0
79,mc064,2.7777777777777777
79,mc066,2.7777777777777777
8,mc050,19.444444444444446
8,mc053,0.0
8,mc057,0.0
8,mc064,5.555555555555555
8,mc066,22.22222222222222
80,mc050,2.7777777777777777
80,mc053,5.555555555555555
80,mc057,0.0
80,mc064,0.0
80,mc066,2.7777777777777777
81,mc050,0.0
81,mc053,2.7777777777777777
81,mc057,0.0
81,mc064,8.333333333333332
81,mc066,0.0
82,mc050,8.333333333333332
82,mc053,11.11111111111111
82,mc057,0.0
82,mc064,2.7777777777777777
82,mc066,5.555555555555555
83,mc050,13.88888888888889
83,mc053,8.333333333333332
83,mc057,0.0
83,mc064,0.0
83,mc066,22.22222222222222
84,mc050,2.7777777777777777
84,mc053,2.7777777777777777
84,mc057,0.0
84,mc064,2.7777777777777777
84,mc066,0.0
85,mc050,2.7777777777777777
85,mc053,0.0
85,mc057,0.0
85,mc064,5.555555555555555
85,mc066,0.0
86,mc050,8.333333333333332
86,mc053,0.0
86,mc057,0.0
86,mc064,2.7777777777777777
86,mc066,8.333333333333332
87,mc050,2.7777777777777777
87,mc053,13.88888888888889
87,mc057,0.0
87,mc064,5.555555555555555
87,mc066,8.333333333333332
88,mc050,16.666666666666664
88,mc053,0.0
88,mc057,0.0
88,mc064,2.7777777777777777
88,mc066,8.333333333333332
89,mc050,11.11111111111111
89,mc053,2.7777777777777777
89,mc057,0.0
89,mc064,2.7777777777777777
89,mc066,8.333333333333332
9,mc050,2.7777777777777777
9,mc053,0.0
9,mc057,0.0
9,mc064,0.0
9,mc066,0.0
90,mc050,13.88888888888889
90,mc053,16.666666666666664
90,mc057,0.0
90,mc064,2.7777777777777777
90,mc066,22.22222222222222
91,mc050,0.0
91,mc053,0.0
91,mc057,0.0
91,mc064,0.0
91,mc066,5.555555555555555
92,mc050,0.0
92,mc053,2.7777777777777777
92,mc057,2.7777777777777777
92,mc064,2.7777777777777777
92,mc066,11.11111111111111
93,mc050,2.7777777777777777
93,mc053,2.7777777777777777
93,mc057,0.0
93,mc064,2.7777777777777777
93,mc066,2.7777777777777777
94,mc050,2.7777777777777777
94,mc053,0.0
94,mc057,0.0
94,mc064,2.7777777777777777
94,mc066,2.7777777777777777
95,mc050,8.333333333333332
95,mc053,2.7777777777777777
95,mc057,0.0
95,mc064,2.7777777777777777
95,mc066,13.88888888888889
96,mc050,0.0
96,mc053,0.0
96,mc057,0.0
96,mc064,5.555555555555555
96,mc066,0.0
97,mc050,2.7777777777777777
97,mc053,0.0
97,mc057,0.0
97,mc064,0.0
97,mc066,0.0
