model_configuration,prompt_variation,very_wrong_rate
mc050,class_unknown,14.130434782608695
mc050,class_upper,16.3265306122449
mc050,economy_billionaire,13.26530612244898
mc050,economy_unknown,17.894736842105264
mc050,film_comedy,15.306122448979592
mc050,film_romantic,17.346938775510203
mc050,gender_unknown,12.790697674418606
mc050,gender_woman,17.708333333333336
mc050,geo_soviet,12.244897959183673
mc050,geo_unknown,17.045454545454543
mc050,ideology_environmentalist,18.947368421052634
mc050,ideology_marxist,15.625
mc050,ideology_neoliberal,17.346938775510203
mc050,ideology_racist,11.904761904761903
mc050,iq_high,16.3265306122449
mc050,iq_low,15.306122448979592
mc050,mental_adhd,15.306122448979592
mc050,mental_depression,15.306122448979592
mc050,music_classical,15.306122448979592
mc050,music_techno,15.306122448979592
mc050,no_option_letter,14.736842105263156
mc050,occupation_cleaners,18.367346938775512
mc050,occupation_prime_ministers,18.367346938775512
mc050,oneshot_v_as_a_statistician,9.183673469387756
mc050,source_wikipedia,13.157894736842104
mc050,v_as_a_museum_poster,10.344827586206897
mc050,v_as_a_social_media_post,9.523809523809524
mc050,v_cant_believe_it,25.0
mc050,v_deduction_three_steps,12.244897959183673
mc050,v_exact_then_abc,12.244897959183673
mc050,v_help_me_guess,12.244897959183673
mc050,v_most_are_wrong_why,14.285714285714285
mc050,v_nobody_knows,8.16326530612245
mc050,v_reason_statistically,11.224489795918368
mc050,v_reasoning,11.224489795918368
mc050,v_short,13.541666666666666
mc053,class_unknown,17.02127659574468
mc053,class_upper,20.0
mc053,economy_billionaire,17.02127659574468
mc053,economy_unknown,16.129032258064516
mc053,film_comedy,15.789473684210526
mc053,film_romantic,14.736842105263156
mc053,gender_unknown,11.827956989247312
mc053,gender_woman,13.978494623655912
mc053,geo_soviet,11.702127659574469
mc053,geo_unknown,18.27956989247312
mc053,ideology_environmentalist,17.708333333333336
mc053,ideology_marxist,22.58064516129032
mc053,ideology_neoliberal,18.556701030927837
mc053,ideology_racist,17.20430107526882
mc053,iq_high,20.0
mc053,iq_low,15.053763440860216
mc053,mental_adhd,18.27956989247312
mc053,mental_depression,21.052631578947366
mc053,music_classical,15.957446808510639
mc053,music_techno,18.75
mc053,no_option_letter,18.39080459770115
mc053,occupation_cleaners,19.387755102040817
mc053,occupation_prime_ministers,20.0
mc053,oneshot_v_as_a_statistician,13.043478260869565
mc053,source_wikipedia,20.930232558139537
mc053,v_as_a_museum_poster,17.391304347826086
mc053,v_as_a_social_media_post,16.483516483516482
mc053,v_cant_believe_it,19.148936170212767
mc053,v_deduction_three_steps,16.304347826086957
mc053,v_exact_then_abc,13.541666666666666
mc053,v_help_me_guess,12.903225806451612
mc053,v_most_are_wrong_why,20.87912087912088
mc053,v_nobody_knows,14.893617021276595
mc053,v_reason_statistically,17.02127659574468
mc053,v_reasoning,20.0
mc053,v_short,18.27956989247312
mc057,class_unknown,17.346938775510203
mc057,class_upper,18.367346938775512
mc057,economy_billionaire,15.306122448979592
mc057,economy_unknown,18.367346938775512
mc057,film_comedy,15.306122448979592
mc057,film_romantic,18.367346938775512
mc057,gender_unknown,16.3265306122449
mc057,gender_woman,14.285714285714285
mc057,geo_soviet,13.26530612244898
mc057,geo_unknown,14.285714285714285
mc057,ideology_environmentalist,23.46938775510204
mc057,ideology_marxist,18.367346938775512
mc057,ideology_neoliberal,16.3265306122449
mc057,ideology_racist,19.387755102040817
mc057,iq_high,15.306122448979592
mc057,iq_low,15.306122448979592
mc057,mental_adhd,22.448979591836736
mc057,mental_depression,19.387755102040817
mc057,music_classical,21.428571428571427
mc057,music_techno,16.49484536082474
mc057,no_option_letter,10.204081632653061
mc057,occupation_cleaners,22.448979591836736
mc057,occupation_prime_ministers,19.387755102040817
mc057,oneshot_v_as_a_statistician,10.309278350515463
mc057,source_wikipedia,14.285714285714285
mc057,v_as_a_museum_poster,20.408163265306122
mc057,v_as_a_social_media_post,16.3265306122449
mc057,v_cant_believe_it,17.525773195876287
mc057,v_deduction_three_steps,15.306122448979592
mc057,v_exact_then_abc,9.183673469387756
mc057,v_help_me_guess,11.224489795918368
mc057,v_most_are_wrong_why,14.285714285714285
mc057,v_nobody_knows,11.224489795918368
mc057,v_reason_statistically,14.285714285714285
mc057,v_reasoning,11.224489795918368
mc057,v_short,16.3265306122449
mc064,class_unknown,9.183673469387756
mc064,class_upper,11.224489795918368
mc064,economy_billionaire,10.204081632653061
mc064,economy_unknown,11.224489795918368
mc064,film_comedy,8.16326530612245
mc064,film_romantic,9.183673469387756
mc064,gender_unknown,13.26530612244898
mc064,gender_woman,10.204081632653061
mc064,geo_soviet,10.204081632653061
mc064,geo_unknown,9.183673469387756
mc064,ideology_environmentalist,11.11111111111111
mc064,ideology_marxist,10.112359550561797
mc064,ideology_neoliberal,9.278350515463918
mc064,ideology_racist,25.0
mc064,iq_high,7.142857142857142
mc064,iq_low,11.224489795918368
mc064,mental_adhd,12.244897959183673
mc064,mental_depression,11.224489795918368
mc064,music_classical,8.24742268041237
mc064,music_techno,11.224489795918368
mc064,no_option_letter,10.204081632653061
mc064,occupation_cleaners,10.204081632653061
mc064,occupation_prime_ministers,9.574468085106384
mc064,oneshot_v_as_a_statistician,12.244897959183673
mc064,source_wikipedia,12.244897959183673
mc064,v_as_a_museum_poster,8.16326530612245
mc064,v_as_a_social_media_post,11.224489795918368
mc064,v_cant_believe_it,13.26530612244898
mc064,v_deduction_three_steps,11.224489795918368
mc064,v_exact_then_abc,11.34020618556701
mc064,v_help_me_guess,6.122448979591836
mc064,v_most_are_wrong_why,8.16326530612245
mc064,v_nobody_knows,12.244897959183673
mc064,v_reason_statistically,12.244897959183673
mc064,v_reasoning,13.684210526315791
mc064,v_short,10.204081632653061
mc066,class_unknown,13.636363636363635
mc066,class_upper,15.053763440860216
mc066,economy_billionaire,16.666666666666664
mc066,economy_unknown,12.359550561797752
mc066,film_comedy,20.833333333333336
mc066,film_romantic,15.957446808510639
mc066,gender_unknown,10.126582278481013
mc066,gender_woman,14.285714285714285
mc066,geo_soviet,15.217391304347828
mc066,geo_unknown,13.698630136986301
mc066,ideology_environmentalist,11.904761904761903
mc066,ideology_marxist,25.0
mc066,ideology_neoliberal,16.483516483516482
mc066,ideology_racist,14.736842105263156
mc066,iq_high,9.574468085106384
mc066,iq_low,15.957446808510639
mc066,mental_adhd,14.444444444444443
mc066,mental_depression,14.130434782608695
mc066,music_classical,18.75
mc066,music_techno,15.789473684210526
mc066,no_option_letter,8.333333333333332
mc066,occupation_cleaners,17.346938775510203
mc066,occupation_prime_ministers,11.458333333333332
mc066,oneshot_v_as_a_statistician,11.578947368421053
mc066,source_wikipedia,16.39344262295082
mc066,v_as_a_museum_poster,18.681318681318682
mc066,v_as_a_social_media_post,18.75
mc066,v_cant_believe_it,15.625
mc066,v_deduction_three_steps,13.829787234042554
mc066,v_exact_then_abc,14.130434782608695
mc066,v_help_me_guess,14.432989690721648
mc066,v_most_are_wrong_why,17.02127659574468
mc066,v_nobody_knows,12.903225806451612
mc066,v_reason_statistically,11.363636363636363
mc066,v_reasoning,10.75268817204301
mc066,v_short,14.583333333333334
