model_configuration,prompt_variation,wrong_rate
mc050,class_unknown,21.73913043478261
mc050,class_upper,24.489795918367346
mc050,economy_billionaire,19.387755102040817
mc050,economy_unknown,22.105263157894736
mc050,film_comedy,23.46938775510204
mc050,film_romantic,23.46938775510204
mc050,gender_unknown,16.27906976744186
mc050,gender_woman,22.916666666666664
mc050,geo_soviet,23.46938775510204
mc050,geo_unknown,19.318181818181817
mc050,ideology_environmentalist,23.157894736842106
mc050,ideology_marxist,22.916666666666664
mc050,ideology_neoliberal,26.53061224489796
mc050,ideology_racist,21.428571428571427
mc050,iq_high,20.408163265306122
mc050,iq_low,20.408163265306122
mc050,mental_adhd,22.448979591836736
mc050,mental_depression,24.489795918367346
mc050,music_classical,25.510204081632654
mc050,music_techno,24.489795918367346
mc050,no_option_letter,23.157894736842106
mc050,occupation_cleaners,26.53061224489796
mc050,occupation_prime_ministers,20.408163265306122
mc050,oneshot_v_as_a_statistician,24.489795918367346
mc050,source_wikipedia,18.421052631578945
mc050,v_as_a_museum_poster,25.287356321839084
mc050,v_as_a_social_media_post,26.190476190476193
mc050,v_cant_believe_it,11.458333333333332
mc050,v_deduction_three_steps,30.612244897959183
mc050,v_exact_then_abc,35.714285714285715
mc050,v_help_me_guess,34.69387755102041
mc050,v_most_are_wrong_why,8.16326530612245
mc050,v_nobody_knows,41.83673469387755
mc050,v_reason_statistically,29.591836734693878
mc050,v_reasoning,36.734693877551024
mc050,v_short,29.166666666666668
mc053,class_unknown,24.46808510638298
mc053,class_upper,22.105263157894736
mc053,economy_billionaire,23.404255319148938
mc053,economy_unknown,23.655913978494624
mc053,film_comedy,22.105263157894736
mc053,film_romantic,23.157894736842106
mc053,gender_unknown,25.806451612903224
mc053,gender_woman,27.956989247311824
mc053,geo_soviet,20.212765957446805
mc053,geo_unknown,25.806451612903224
mc053,ideology_environmentalist,25.0
mc053,ideology_marxist,19.35483870967742
mc053,ideology_neoliberal,23.711340206185564
mc053,ideology_racist,20.43010752688172
mc053,iq_high,22.105263157894736
mc053,iq_low,25.806451612903224
mc053,mental_adhd,27.956989247311824
mc053,mental_depression,20.0
mc053,music_classical,25.53191489361702
mc053,music_techno,22.916666666666664
mc053,no_option_letter,18.39080459770115
mc053,occupation_cleaners,22.448979591836736
mc053,occupation_prime_ministers,20.0
mc053,oneshot_v_as_a_statistician,27.173913043478258
mc053,source_wikipedia,27.906976744186046
mc053,v_as_a_museum_poster,19.565217391304348
mc053,v_as_a_social_media_post,24.175824175824175
mc053,v_cant_believe_it,20.212765957446805
mc053,v_deduction_three_steps,20.652173913043477
mc053,v_exact_then_abc,34.375
mc053,v_help_me_guess,20.43010752688172
mc053,v_most_are_wrong_why,18.681318681318682
mc053,v_nobody_knows,39.361702127659576
mc053,v_reason_statistically,21.27659574468085
mc053,v_reasoning,25.555555555555554
mc053,v_short,22.58064516129032
mc057,class_unknown,27.55102040816326
mc057,class_upper,24.489795918367346
mc057,economy_billionaire,23.46938775510204
mc057,economy_unknown,23.46938775510204
mc057,film_comedy,24.489795918367346
mc057,film_romantic,25.510204081632654
mc057,gender_unknown,25.510204081632654
mc057,gender_woman,28.57142857142857
mc057,geo_soviet,30.612244897959183
mc057,geo_unknown,26.53061224489796
mc057,ideology_environmentalist,22.448979591836736
mc057,ideology_marxist,25.510204081632654
mc057,ideology_neoliberal,22.448979591836736
mc057,ideology_racist,21.428571428571427
mc057,iq_high,25.510204081632654
mc057,iq_low,26.53061224489796
mc057,mental_adhd,21.428571428571427
mc057,mental_depression,23.46938775510204
mc057,music_classical,23.46938775510204
mc057,music_techno,27.835051546391753
mc057,no_option_letter,24.489795918367346
mc057,occupation_cleaners,24.489795918367346
mc057,occupation_prime_ministers,28.57142857142857
mc057,oneshot_v_as_a_statistician,25.773195876288657
mc057,source_wikipedia,22.448979591836736
mc057,v_as_a_museum_poster,23.46938775510204
mc057,v_as_a_social_media_post,29.591836734693878
mc057,v_cant_believe_it,19.587628865979383
mc057,v_deduction_three_steps,26.53061224489796
mc057,v_exact_then_abc,30.612244897959183
mc057,v_help_me_guess,30.612244897959183
mc057,v_most_are_wrong_why,19.387755102040817
mc057,v_nobody_knows,36.734693877551024
mc057,v_reason_statistically,25.510204081632654
mc057,v_reasoning,26.53061224489796
mc057,v_short,25.510204081632654
mc064,class_unknown,13.26530612244898
mc064,class_upper,12.244897959183673
mc064,economy_billionaire,14.285714285714285
mc064,economy_unknown,13.26530612244898
mc064,film_comedy,15.306122448979592
mc064,film_romantic,9.183673469387756
mc064,gender_unknown,15.306122448979592
mc064,gender_woman,13.26530612244898
mc064,geo_soviet,11.224489795918368
mc064,geo_unknown,15.306122448979592
mc064,ideology_environmentalist,14.444444444444443
mc064,ideology_marxist,10.112359550561797
mc064,ideology_neoliberal,12.371134020618557
mc064,ideology_racist,5.0
mc064,iq_high,11.224489795918368
mc064,iq_low,13.26530612244898
mc064,mental_adhd,14.285714285714285
mc064,mental_depression,12.244897959183673
mc064,music_classical,19.587628865979383
mc064,music_techno,14.285714285714285
mc064,no_option_letter,16.3265306122449
mc064,occupation_cleaners,13.26530612244898
mc064,occupation_prime_ministers,15.957446808510639
mc064,oneshot_v_as_a_statistician,14.285714285714285
mc064,source_wikipedia,14.285714285714285
mc064,v_as_a_museum_poster,15.306122448979592
mc064,v_as_a_social_media_post,16.3265306122449
mc064,v_cant_believe_it,8.16326530612245
mc064,v_deduction_three_steps,11.224489795918368
mc064,v_exact_then_abc,21.649484536082475
mc064,v_help_me_guess,15.306122448979592
mc064,v_most_are_wrong_why,11.224489795918368
mc064,v_nobody_knows,24.489795918367346
mc064,v_reason_statistically,13.26530612244898
mc064,v_reasoning,14.736842105263156
mc064,v_short,20.408163265306122
mc066,class_unknown,13.636363636363635
mc066,class_upper,19.35483870967742
mc066,economy_billionaire,20.833333333333336
mc066,economy_unknown,20.224719101123593
mc066,film_comedy,15.625
mc066,film_romantic,17.02127659574468
mc066,gender_unknown,11.39240506329114
mc066,gender_woman,18.681318681318682
mc066,geo_soviet,22.82608695652174
mc066,geo_unknown,17.80821917808219
mc066,ideology_environmentalist,13.095238095238097
mc066,ideology_marxist,15.217391304347828
mc066,ideology_neoliberal,16.483516483516482
mc066,ideology_racist,18.947368421052634
mc066,iq_high,23.404255319148938
mc066,iq_low,21.27659574468085
mc066,mental_adhd,17.77777777777778
mc066,mental_depression,16.304347826086957
mc066,music_classical,20.833333333333336
mc066,music_techno,20.0
mc066,no_option_letter,15.277777777777779
mc066,occupation_cleaners,20.408163265306122
mc066,occupation_prime_ministers,22.916666666666664
mc066,oneshot_v_as_a_statistician,11.578947368421053
mc066,source_wikipedia,8.19672131147541
mc066,v_as_a_museum_poster,14.285714285714285
mc066,v_as_a_social_media_post,11.458333333333332
mc066,v_cant_believe_it,12.5
mc066,v_deduction_three_steps,22.340425531914892
mc066,v_exact_then_abc,25.0
mc066,v_help_me_guess,28.865979381443296
mc066,v_most_are_wrong_why,9.574468085106384
mc066,v_nobody_knows,35.483870967741936
mc066,v_reason_statistically,22.727272727272727
mc066,v_reasoning,33.33333333333333
mc066,v_short,28.125
