question_id,question_text,language,option_a,option_a_correctness,correct_answer,option_b,option_b_correctness,option_c,option_c_correctness
60,How many people in the world have a mobile phone subscription?,en-US,Close to 70%,Correct,Close to 70%,Close to 80%,Wrong,Close to 90%,Very Wrong
1730,"In high-income countries in 2021, the poorer half of the population emitted roughly 5 tonnes of CO2 per person from burning fossil fuels. How much was emitted per person, by the richest 10%?",en-US,Half as much,Very Wrong,Eight times more,Twice as much,Wrong,Eight times more,Correct
13,What share of the world’s population lives in megacities (cities with at least 10 million people)?,en-US,Around 8%,Correct,Around 8%,Around 28%,Wrong,Around 48%,Very Wrong
1731,"In 2022, how much of the increased electricity production in the world came from renewable sources?",en-US,Around 10%,Very Wrong,Around 85%,Around 45%,Wrong,Around 85%,Correct
1737,How many people in high-income countries see climate change as a threat to their country over the next 20 years?,en-US,Around 20%,Very Wrong,Around 80%,Around 50%,Wrong,Around 80%,Correct
1497,What share of all fish caught for food across the world comes from fish farming?,en-US,Roughly 10%,Very Wrong,Roughly 55%,Roughly 35%,Wrong,Roughly 55%,Correct
1512,"Globally, what has happened to the size of the land area used for agriculture over the last 50 years?",en-US,Increased by 50%,Wrong,Stayed about the same,Stayed about the same,Correct,Decreased by 50%,Very Wrong
1520,What happened to the total volume of fish caught in the wild every year during the past 20 years?,en-US,It decreased by roughly 30%,Wrong,It stayed about the same,It stayed about the same,Correct,It increased by roughly 30%,Very Wrong
1529,"Worldwide, what happened to the size of the land areas declared as protected in the last 30 years?",en-US,Decreased by 58%,Very Wrong,Increased by 8%,Decreased by 8%,Wrong,Increased by 8%,Correct
1581,"In 2021, cargo ships worldwide carried 11 billion tons. What share of the cargo was oil, petroleum products, gas and chemicals?",en-US,Around 30%,Correct,Around 30%,Around 40%,Wrong,Around 50%,Very Wrong
1583,How many species of animals and plants are confirmed by biologists to have gone extinct in the last 200 years?,en-US,Around 600,Correct,Around 600,"Around 60,000",Wrong,"Around 600,000",Very Wrong
1596,How much of the oxygen that the Amazon forest produces do we humans breathe?,en-US,Less than 1%,Correct,Less than 1%,30%,Wrong,60%,Very Wrong
1597,"Of all oxygen produced in a year, how much comes from trees?",en-US,Around 25%,Correct,Around 25%,Around 55%,Wrong,Around 85%,Very Wrong
1598,"Of all the known species of birds worldwide, how many are endangered or threatened?",en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1625,"In 2020, the manufacturing sector contributed how much to the world's economy?",en-US,Around 15%,Correct,Around 15%,Around 30%,Wrong,Around 45%,Very Wrong
1637,"What share of all energy used in the world comes from the modern renewable sources (solar, wind, hydro and modern biofuels)?",en-US,Less than 10%,Correct,Less than 10%,Around 20%,Wrong,Around 35%,Very Wrong
1638,"Of the total cost of electricity worldwide, how much is the transfer from the power station to the user, on average?",en-US,Less than 1%,Very Wrong,Around 30%,Around 15%,Wrong,Around 30%,Correct
1647,"What share of the total area burned by wildfires globally was in Africa, between 2001 and 2018?",en-US,Around 10%,Very Wrong,Around 70%,Around 40%,Wrong,Around 70%,Correct
1672,"In 1990, around 60% of all electricity worldwide was produced using fossil fuels. What is that number today?",en-US,Around 40%,Very Wrong,Around 60%,Around 50%,Wrong,Around 60%,Correct
54,"Of all renewable energy used in the world today, what share comes from traditional burning of biomass like charcoal, wood and agricultural waste?",en-US,Around 10%,Very Wrong,Around 40%,Around 25%,Wrong,Around 40%,Correct
89,What happened to the annual number of oil spills from tankers worldwide since the 1970s?,en-US,Decreased tenfold,Correct,Decreased tenfold,Stayed about the same,Wrong,Increased tenfold,Very Wrong
90,"Oil and gas were the marine sectors that made the most money in 2010. If trends continue as before, which sector will it be in 2030?",en-US,Oil and gas,Wrong,Tourism,Tourism,Correct,Wave energy,Very Wrong
91,"Globally, people eat an average of 6kg of beef and veal a year. How much fish is consumed on average per person?",en-US,Around 3kg,Very Wrong,Around 10kg,Around 6kg,Wrong,Around 10kg,Correct
98,"When counting the total body weight of all mammals in the world, roughly how much comes from wild mammals?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 50%,Very Wrong
99,What share of all agricultural land worldwide is used for feeding animals?,en-US,Roughly 25%,Very Wrong,Roughly 80%,Roughly 50%,Wrong,Roughly 80%,Correct
44,"Of 195 countries, how many have signed the UN Convention on the Elimination of All Forms of Discrimination against Women?",en-US,50,Very Wrong,190,120,Wrong,190,Correct
1574,In how many countries (out of 195) do married men and women NOT have equal legal rights to own land or houses?,en-US,Around 20,Correct,Around 20,Around 80,Wrong,Around 140,Very Wrong
1652,How many countries have laws which say that men and women should be paid the same amount for doing work of equal value?,en-US,Around 10%,Very Wrong,Around 40%,Around 25%,Wrong,Around 40%,Correct
1719,What share of all countries have some kind of law to protect women against domestic violence?,en-US,Around 25%,Very Wrong,Around 75%,Around 50%,Wrong,Around 75%,Correct
1610,"Across the world, what share of international migrants are women and girls?",en-US,Roughly 18%,Very Wrong,Roughly 48%,Roughly 33%,Wrong,Roughly 48%,Correct
1524,"In 2022, how much fossil fuels (oil, coal and natural gas) were used in the world, compared to the year 2000?",en-US,95% (some less),Very Wrong,145% (much more),120% (some more),Wrong,145% (much more),Correct
51,"In 1950, 0% of all energy consumption came from nuclear energy. What is that number today?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 45%,Very Wrong
61,Ports in high-income countries handled around 350 million containers in 2020. What was that number for low- and middle-income countries?,en-US,Less than 200 million,Very Wrong,More than 400 million,Around 300 million,Wrong,More than 400 million,Correct
78,"In 2020, there were around 68 cities in Africa with more than 1 million inhabitants. How many cities of this size will there be in Africa in 2030, according to UN experts?",en-US,Fewer than 60,Very Wrong,More than 90,Around 70,Wrong,More than 90,Correct
18,"How much of the world's economy comes from agriculture, forestry and fishing?",en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 45%,Very Wrong
79,Megacities are cities with more than 10 million inhabitants. What share of the world's population is expected to live in megacities in 2030?,en-US,Around 9%,Correct,Around 9%,Around 39%,Wrong,Around 69%,Very Wrong
52,"In 1990, 19% of people aged 65 and older in the world still worked. What is the share expected to be in 2030?",en-US,Around 21%,Correct,Around 21%,Around 41%,Wrong,Around 61%,Very Wrong
56,"Today, 65% of the world’s population are of working age (15-64 years old). What do UN experts think this number will be in 2100?",en-US,50%,Wrong,60%,60%,Correct,70%,Very Wrong
1728,"If we stopped emitting greenhouse gases today, for how long would the sea level continue to rise?",en-US,About 10 years,Very Wrong,"Over 1,000 years",About 100 years,Wrong,"Over 1,000 years",Correct
1715,What is it all greenhouse gases do?,en-US,Pollute air,Very Wrong,Absorb heat,Absorb heat,Correct,Reflect light and heat,Wrong
1693,"To avoid global warming of more than 1.5°​C, the world must use a limited amount of fossil fuels until 2030. If recent trends continue we will exceed that limit. By how much?",en-US,40% too much,Very Wrong,120% too much,80% too much,Wrong,120% too much,Correct
1649,When did scientists first start to realize that human activities have the power to influence the climate?,en-US,Around 1900,Correct,Around 1900,Around 1950,Wrong,Around 1980,Very Wrong
1639,Which of these gases is NOT a greenhouse gas?,en-US,Water vapor,Wrong,Nitrogen gas,Nitrogen gas,Correct,Ozone,Very Wrong
1634,"70% of Europeans said they were planning to switch to a more environmentally friendly energy provider to fight climate change, in 2020. What was this number in the US?",en-US,24%,Very Wrong,64%,44%,Wrong,64%,Correct
1623,"Currently, the average temperature on Earth is 15C. What would the average temperature on Earth be without greenhouse gases?",en-US,-18C,Correct,-18C,+6C,Wrong,+21C,Very Wrong
1592,"Globally, how much has the average sea level been rising per year over the past 100 years?",en-US,2mm per year (0.08 inches),Correct,2mm per year (0.08 inches),20mm per year (0.8 inches),Wrong,200mm per year (8 inches),Very Wrong
1590,How does water vapor contribute to the greenhouse effect (which keeps the earth’s atmosphere warm)?,en-US,Water vapor does not contribute,Wrong,Water vapor contributes significantly,Water vapor contributes significantly,Correct,Water vapor is not a greenhouse gas,Very Wrong
86,How many of the 195 countries recognized by the UN have adopted the Paris Agreement on climate change and the environment?,en-US,92,Very Wrong,192,142,Wrong,192,Correct
7,How many people in the world live in areas that are 5 meters or less above sea level?,en-US,Around 11%,Correct,Around 11%,Around 31%,Wrong,Around 51%,Very Wrong
1636,"Compared to the year before, how much less carbon dioxide was emitted worldwide during 2020 because of the Coronavirus Pandemic?",en-US,Around 5% less,Correct,Around 5% less,Around 20% less,Wrong,Around 40% less,Very Wrong
1645,"Around 25% of the economies of high-income countries come from the industry sector (including manufacturing and construction), on average. How much is this in low-income countries?",en-US,Around 25%,Correct,Around 25%,Around 45%,Wrong,Around 65%,Very Wrong
1643,How many people in low-income countries have access to some form of bank account?,en-US,Around 15%,Very Wrong,Around 40%,Around 25%,Wrong,Around 40%,Correct
1620,What share of the total global economy comes from tourism?,en-US,Around 10%,Correct,Around 10%,Around 25%,Wrong,Around 40%,Very Wrong
1587,"How many young men in the world (aged 15-24) are not engaged in education, employment or training?",en-US,Around 15%,Correct,Around 15%,Around 25%,Wrong,Around 35%,Very Wrong
1580,"Of all children (5-17 years old) in the world, how many are exploited for child labor?",en-US,Around 10%,Correct,Around 10%,Around 30%,Wrong,Around 50%,Very Wrong
1578,"Worldwide, what share of young people (aged 15-24) that work are in informal employment?",en-US,Around 25%,Very Wrong,Around 75%,Around 50%,Wrong,Around 75%,Correct
1522,Since 1970 the average income in the 40 richest countries more than doubled. The average income in the other countries…?,en-US,Declined to half,Very Wrong,More than doubled,Stayed roughly the same,Wrong,More than doubled,Correct
57,What share of people above retirement age worldwide are entitled to a pension?,en-US,Around 25%,Very Wrong,Around 75%,Around 45%,Wrong,Around 75%,Correct
1724,"Of all the journalists in prison globally at the end of 2017, around 20% were in Russia, China, Iran, Myanmar and Belarus combined. What was this figure in 2022?",en-US,Around 23%,Very Wrong,Around 53%,Around 38%,Wrong,Around 53%,Correct
1708,"Since 2015, what has happened to the number of people dying due to terrorism?",en-US,35% decrease,Correct,35% decrease,About the same,Wrong,35% increase,Very Wrong
1702,"Worldwide, how many homicide victims are men?",en-US,Around 40%,Very Wrong,Around 80%,Around 60%,Wrong,Around 80%,Correct
1568,"Of all firearms in the world, what share is owned by civilians?",en-US,Roughly 25%,Very Wrong,Roughly 85%,Roughly 55%,Wrong,Roughly 85%,Correct
1618,"Between 2011 and 2022, how many times did the US and Russia share information with each other about their nuclear weapons?",en-US,Zero times,Very Wrong,25 thousand times,25 times,Wrong,25 thousand times,Correct
1635,"When the Open Skies Treaty (which allows members to conduct observation flights over each others' land) began in 2002, 34 countries were members. How many are there today?",en-US,32,Correct,32,42,Wrong,62,Very Wrong
1629,Roughly 35 countries every year experienced some sort of violent conflict during the past 5 years. What was the average number during the 1950s?,en-US,Around 15 countries,Correct,Around 15 countries,Around 30 countries,Wrong,Around 60 countries,Very Wrong
1621,The 15 countries where most people say they trust others are:,en-US,Low-income countries,Very Wrong,High-income countries,Middle-income countries,Wrong,High-income countries,Correct
1600,What share of all recorded homicides in the world are related to gangs and organized crime?,en-US,Around 20%,Correct,Around 20%,Around 40%,Wrong,Around 60%,Very Wrong
1599,"What share of the world's population is suspected, arrested or cautioned by the police or criminal justice systems each year?",en-US,Around 2%,Correct,Around 2%,Around 20%,Wrong,Around 40%,Very Wrong
1547,What share of all battle deaths in the past 10 years occurred in Africa?,en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1723,"Where do the majority of people who are forced to flee their homes due to conflict, persecution or disaster move to?",en-US,Neighboring countries,Wrong,Stay within their own country,Stay within their own country,Correct,High-income countries,Very Wrong
1675,"Of all Syrian refugees in Egypt, Lebanon, Jordan and Iraq in 2022, how many said they couldn't afford their basic needs, such as food, medicine and housing?",en-US,Around 30%,Very Wrong,Around 90%,Around 60%,Wrong,Around 90%,Correct
1674,"In Uganda, Bangladesh, Colombia, and Türkiye, there were a total of 0.4 million refugees and migrants from humanitarian crises in 2010. What was the number in 2022?",en-US,Around 1 million,Very Wrong,Around 9 million,Around 5 million,Wrong,Around 9 million,Correct
1673,"In 2000, around 20% of all refugees worldwide fled to a high-income country. What was the number in 2021 (right before the war in Ukraine)?",en-US,Around 20%,Correct,Around 20%,Around 30%,Wrong,Around 40%,Very Wrong
1670,"In 2022, around 10% of the world's population live in low-income countries. What share of the global refugee population live there?",en-US,Less than 20%,Correct,Less than 20%,Around 35%,Wrong,More than 50%,Very Wrong
1663,"Among university-educated refugees in the EU in 2019 who were employed, how many of them were overqualified for their jobs?",en-US,Around 20%,Very Wrong,Around 60%,Around 40%,Wrong,Around 60%,Correct
1662,"In 2018, what share of refugee-hosting countries allowed refugees the right to work?",en-US,Around 10%,Very Wrong,Around 50%,Around 30%,Wrong,Around 50%,Correct
1661,How many refugees currently live in the world's largest refugee camp?,en-US,"Around 9,000",Very Wrong,"Around 900,000","Around 90,000",Wrong,"Around 900,000",Correct
1690,What share of Europe's population are migrants?,en-US,Around 12%,Correct,Around 12%,Around 22%,Wrong,Around 32%,Very Wrong
75,"Since it was founded, the International Monetary Fund (IMF) has had 12 managing directors. How many of them were born in Europe?",en-US,4,Very Wrong,12,8,Wrong,12,Correct
74,What share of the members of the International Monetary Fund (IMF) are low- and middle-income countries?,en-US,Around 20%,Very Wrong,Around 70%,Around 45%,Wrong,Around 70%,Correct
73,"Of 195 countries, how many have promised to create laws against racism, in accordance with the UN Convention on the Elimination of All Forms of Racial Discrimination?",en-US,10 countries,Very Wrong,180 countries,80 countries,Wrong,180 countries,Correct
71,"In what part of the world is income inequality the smallest, when measuring how much the richest 10% earn of all income?",en-US,Middle East,Very Wrong,Europe,Europe,Correct,Sub-Saharan Africa,Wrong
17,What share of countries in the world have laws against sexual harassment at work?,en-US,Around 30%,Very Wrong,Around 70%,Around 50%,Wrong,Around 70%,Correct
1720,"Worldwide, how many people in rural areas have access to safe drinking water within 30 minutes of their home?",en-US,Less than 25%,Very Wrong,More than 75%,Around 50%,Wrong,More than 75%,Correct
1577,How many people in the world have soap and water to wash their hands at home?,en-US,Around 20%,Very Wrong,Around 70%,Around 40%,Wrong,Around 70%,Correct
1576,"Worldwide, how many people living in rural areas have a toilet that they don't have to share with other households?",en-US,Around 20%,Very Wrong,Around 60%,Around 40%,Wrong,Around 60%,Correct
48,"How many countries (out of 195) have at least one desalination plant, removing salt from salt water?",en-US,30,Very Wrong,180,100,Wrong,180,Correct
49,How many countries have rules requiring that local communities are included when planning and managing freshwater resources?,en-US,30%,Very Wrong,70%,50%,Wrong,70%,Correct
1562,What share of the world population uses toilets connected to sewers?,en-US,Around 40%,Correct,Around 40%,Around 55%,Wrong,Around 70%,Very Wrong
1553,"Of all men aged 25-29, about 90% are in the labor force (have a job or are seeking one). What’s the number for women?",en-US,Around 60%,Correct,Around 60%,Around 70%,Wrong,Around 80%,Very Wrong
1619,How many women are married before the age of 18 in Sub-Saharan Africa?,en-US,Around 30%,Correct,Around 30%,Around 50%,Wrong,Around 70%,Very Wrong
43,"In how many countries, out of 195, is marriage under age 18 legally possible?",en-US,19,Very Wrong,139,79,Wrong,139,Correct
40,"Worldwide, what share of seats in national parliaments are held by women today?",en-US,Around 5%,Very Wrong,Around 25%,Around 15%,Wrong,Around 25%,Correct
1654,It took 12 years for the world's population to grow from 6 to 7 billion people. How long did it take from 7 to 8 billion?,en-US,2 years,Very Wrong,12 years,7 years,Wrong,12 years,Correct
1627,"What share of all countries will have fewer people in 2050 than they have today, if current population trends continue?",en-US,5%,Very Wrong,25%,15%,Wrong,25%,Correct
1622,There are currently 8 billion people on Earth. How many people do UN experts think there will be in 2100?,en-US,Around 10.5 billion,Correct,Around 10.5 billion,Around 16.5 billion,Wrong,Around 22.5 billion,Very Wrong
1593,The total number of old people worldwide (age 65+) is expected to increase by 800 million by 2050. How much of the increase will happen in high-income countries?,en-US,15%,Correct,15%,35%,Wrong,55%,Very Wrong
1505,"According to the United Nations, the world population will increase by another 2.4 billion people by 2100. The main reason is that there will be more…",en-US,children (below age 15),Very Wrong,adults (age 15 to 74),adults (age 15 to 74),Correct,very old (above age 75),Wrong
1567,How many of the world’s 195 countries do UN experts expect to decrease in population size between now and 2050?,en-US,Around 10 countries,Very Wrong,Around 50 countries,Around 30 countries,Wrong,Around 50 countries,Correct
1631,"Thirty years ago, less than 25% of the world's population lived in middle-income countries. What is the share today?",en-US,Around 15%,Very Wrong,Around 75%,Around 45%,Wrong,Around 75%,Correct
1705,Charities and governments across the world give money to the least developed countries. When comparing the total amounts given…,en-US,Charities give 20 times more,Very Wrong,Governments give 20 times more,Governments give 20 times more,Correct,They give roughly the same,Wrong
1687,The US has 4% of the world's population. What share of votes does it have when the World Bank decides on development loans to poorer countries?,en-US,16%,Correct,16%,36%,Wrong,56%,Very Wrong
1651,Which free trade area includes the most countries?,en-US,North Atlantic Free Trade Agreement (NAFTA),Very Wrong,African Continental Free Trade Area,African Continental Free Trade Area,Correct,The European Union,Wrong
1624,"Compared to the total international aid from rich governments in 2022, how much money did migrants across the world transfer back home to their countries of origin?",en-US,Less than 10% of total aid,Very Wrong,More than 200% of total aid,Around 30% of total aid,Wrong,More than 200% of total aid,Correct
19,The governments of high-income countries get how much of their revenue from customs and import duties?,en-US,Around 2%,Correct,Around 2%,Around 12%,Wrong,Around 22%,Very Wrong
1648,What share of the members of the World Trade Organization are low- and middle-income countries?,en-US,Around 25%,Very Wrong,Around 65%,Around 45%,Wrong,Around 65%,Correct
1712,"Before countries signed the High Seas Treaty in March 2023, around 1% of international oceans were protected. What number does the new agreement aim to achieve?",en-US,Around 5%,Very Wrong,Around 30%,Around 15%,Wrong,Around 30%,Correct
1710,"What share of waste that is collected from households, businesses and streets is food and other green waste (e.g. grass cuttings)?",en-US,Around 45%,Correct,Around 45%,Around 55%,Wrong,Around 65%,Very Wrong
1669,"Out of 195 countries, how many have banned gasoline containing lead?",en-US,75 countries,Very Wrong,195 countries,135 countries,Wrong,195 countries,Correct
1660,How many of the world’s 250 richest companies have set targets to cut their carbon emissions?,en-US,About 20%,Very Wrong,About 80%,About 50%,Wrong,About 80%,Correct
1628,"Globally, what share of waste that is collected from households, businesses and streets ends up in managed landfills (not open dump sites)?",en-US,Around 35%,Correct,Around 35%,Around 70%,Wrong,Around 95%,Very Wrong
1586,"Compared to people in high-income countries, how much waste do people living in middle-income countries generate per person per day?",en-US,Double the amount of waste,Very Wrong,Half the amount of waste,About the same,Wrong,Half the amount of waste,Correct
1585,What share of the world’s waste is generated in North America?,en-US,Around 14%,Correct,Around 14%,Around 28%,Wrong,Around 42%,Very Wrong
84,"Of all waste collected from homes, businesses and schools worldwide, how much of the total weight is plastic?",en-US,Around 12%,Correct,Around 12%,Around 42%,Wrong,Around 72%,Very Wrong
83,"Globally, how much food is lost between being harvested and sold in stores?",en-US,Around 15%,Correct,Around 15%,Around 30%,Wrong,Around 45%,Very Wrong
81,How many years did it take between the discovery of ozone depleting substances and the signing of an international agreement to ban them?,en-US,14 years,Correct,14 years,24 years,Wrong,34 years,Very Wrong
16,"After water, which raw material is most used in the world in terms of volume?",en-US,Oil,Wrong,Sand,Sand,Correct,Wood,Very Wrong
1671,"In the next 30 years, UN experts expect the world’s urban population to grow to 6.7 billion people. What do they think will happen to the rural population in that period?",en-US,It will decrease around 10%,Correct,It will decrease around 10%,It will stay about the same,Wrong,It will increase around 10%,Very Wrong
1709,"When listing the ten most expensive cities to live in the world in 2022, how many were in Europe?",en-US,4,Correct,4,6,Wrong,9,Very Wrong
1707,"If current trends continue, in 2100 the biggest city in the world is expected to be in:",en-US,Asia,Wrong,Africa,Africa,Correct,America,Very Wrong
1582,How many megacities are there in the whole world (metropolitan areas with more than 10 million inhabitants)?,en-US,Around 12,Very Wrong,Around 35,Around 23,Wrong,Around 35,Correct
77,"How much of the world’s total land surface has some physical infrastructure built on it, like houses or roads (excluding farm land)?",en-US,Less than 5%,Correct,Less than 5%,Around 15%,Wrong,More than 25%,Very Wrong
1706,Electronics and pharmaceutical companies spend around 12% of their revenue on research and development. How much do energy and fuel producing companies spend?,en-US,Around 0.3%,Correct,Around 0.3%,Around 3%,Wrong,Around 30%,Very Wrong
9,"Of all energy used in the world, how much comes from natural gas, coal and oil?",en-US,Around 40%,Very Wrong,Around 80%,Around 60%,Wrong,Around 80%,Correct
1692,"Compared to 100 years ago, how affordable is electricity in the US today?",en-US,About the same,Very Wrong,200 times more affordable,10 times more affordable,Wrong,200 times more affordable,Correct
1685,"Globally, which region has the highest number of mobile money accounts?",en-US,East Asia and Pacific,Wrong,Sub-Saharan Africa,Sub-Saharan Africa,Correct,Europe and Central Asia,Very Wrong
1682,"Since 1970, what happened to the amount of energy consumed per person globally?",en-US,Stayed more or less the same,Wrong,It increased by around 50%,It increased by around 50%,Correct,It increased by around 250%,Very Wrong
1680,How many countries have satellites in orbit around the earth?,en-US,Around 15,Very Wrong,Around 80,Around 40,Wrong,Around 80,Correct
20_text,"There are roughly eight billion people in the world today. If we split the world into four regions, how many people live in each region?",en-US,"1 billion in the Americas, 1 billion in Europe, 2 billion in Africa, 4 billion in Asia",Wrong,"1 billion in the Americas, 1 billion in Europe, 1 billion in Africa, 5 billion in Asia","1 billion in the Americas, 1 billion in Europe, 1 billion in Africa, 5 billion in Asia",Correct,"2 billion in the Americas, 1 billion in Europe, 1 billion in Africa, 4 billion in Asia",Very Wrong
1501_text,"Out of 195 countries in the world, how many are members of the United Nations?",en-US,93,Very Wrong,193,143,Wrong,193,Correct
1666_text,"People in high-income countries emit different amounts of CO2 depending on how rich they are. Going from the poorest 10% to the richest 10%, in 10% increments, which of the options accurately explains the change in emissions?",en-US,The amount of emissions gradually decreases from the poorest 10% to the richest 10%,Very Wrong,"The amount evenly increases from the poorest to the richest, until the richest 10% where it increases rapidly",The amount evenly increases from the poorest 10% to the richest 10%,Wrong,"The amount evenly increases from the poorest to the richest, until the richest 10% where it increases rapidly",Correct
1591_text,"Which answer best describes how the average temperature in the atmosphere has changed over the last 40 years, below and above 12km?",en-US,"The temperature in the atmosphere increased, both above and below 12km",Wrong,The temperature in the atmosphere decreased above 12km but increased below 12km,The temperature in the atmosphere decreased above 12km but increased below 12km,Correct,The temperature in the atmosphere increased above 12km but decreased below 12km,Very Wrong
1729_text,"If we split the world population into three income groups, less than $2/day between $2/day and $24/day, and more than $24/day. Which option, A, B or C, best shows the groups' sizes in 2022?",en-US,"50% less than $2/day, 20% between $2/day and $24/day, and 30% more than $24/day",Very Wrong,"10% less than $2/day, 70% between $2/day and $24/day, and 20% more than $24/day","30% less than $2/day, 40% between $2/day and $24/day, and 30% more than $24/day",Wrong,"10% less than $2/day, 70% between $2/day and $24/day, and 20% more than $24/day",Correct
1507_text,"In 1992, 56 journalists were reported killed. What has happened since then?",en-US,"Increased sharply, to 463 killings in 2022",Very Wrong,"Stayed roughly the same, with 67 killings in 2022",Increased to 257 killings in 2022,Wrong,"Stayed roughly the same, with 67 killings in 2022",Correct
